txName: T4tbWoff
conditionDescription: not yet assigned
condition: not yet assigned
constraint: not yet assigned
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS14011/T2tbHybridNew0Lp1Lp2LXSEC.pdf
validated: None
axes: Eq(mother,x)_Eq(inter0,y+5.0)_Eq(lsp,y)+Eq(mother,x)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[100.0*GeV, 5.0*GeV, 0.0*GeV], [100.0*GeV, 0.0*GeV]], 164.008232158*pb],
[[[600.0*GeV, 355.0*GeV, 350.0*GeV], [600.0*GeV, 350.0*GeV]], 0.191314545025*pb],
[[[600.0*GeV, 380.0*GeV, 375.0*GeV], [600.0*GeV, 375.0*GeV]], 0.259641585246*pb],
[[[600.0*GeV, 405.0*GeV, 400.0*GeV], [600.0*GeV, 400.0*GeV]], 0.334157959487*pb],
[[[600.0*GeV, 430.0*GeV, 425.0*GeV], [600.0*GeV, 425.0*GeV]], 0.414053520904*pb],
[[[600.0*GeV, 455.0*GeV, 450.0*GeV], [600.0*GeV, 450.0*GeV]], 0.487319572681*pb],
[[[600.0*GeV, 480.0*GeV, 475.0*GeV], [600.0*GeV, 475.0*GeV]], 0.533096717266*pb],
[[[600.0*GeV, 505.0*GeV, 500.0*GeV], [600.0*GeV, 500.0*GeV]], 0.557786600072*pb],
[[[625.0*GeV, 5.0*GeV, 0.0*GeV], [625.0*GeV, 0.0*GeV]], 0.013029366576*pb],
[[[625.0*GeV, 30.0*GeV, 25.0*GeV], [625.0*GeV, 25.0*GeV]], 0.0129024942625*pb],
[[[625.0*GeV, 55.0*GeV, 50.0*GeV], [625.0*GeV, 50.0*GeV]], 0.0134919571816*pb],
[[[625.0*GeV, 80.0*GeV, 75.0*GeV], [625.0*GeV, 75.0*GeV]], 0.013487547625*pb],
[[[625.0*GeV, 105.0*GeV, 100.0*GeV], [625.0*GeV, 100.0*GeV]], 0.0136206824689*pb],
[[[625.0*GeV, 130.0*GeV, 125.0*GeV], [625.0*GeV, 125.0*GeV]], 0.013993327395*pb],
[[[625.0*GeV, 155.0*GeV, 150.0*GeV], [625.0*GeV, 150.0*GeV]], 0.0147868869682*pb],
[[[625.0*GeV, 180.0*GeV, 175.0*GeV], [625.0*GeV, 175.0*GeV]], 0.0162352915994*pb],
[[[625.0*GeV, 205.0*GeV, 200.0*GeV], [625.0*GeV, 200.0*GeV]], 0.0184241165436*pb],
[[[625.0*GeV, 230.0*GeV, 225.0*GeV], [625.0*GeV, 225.0*GeV]], 0.0216064174691*pb],
[[[625.0*GeV, 255.0*GeV, 250.0*GeV], [625.0*GeV, 250.0*GeV]], 0.0268565875279*pb],
[[[625.0*GeV, 280.0*GeV, 275.0*GeV], [625.0*GeV, 275.0*GeV]], 0.0373510357296*pb],
[[[625.0*GeV, 305.0*GeV, 300.0*GeV], [625.0*GeV, 300.0*GeV]], 0.0543100987916*pb],
[[[625.0*GeV, 330.0*GeV, 325.0*GeV], [625.0*GeV, 325.0*GeV]], 0.0793391308807*pb],
[[[625.0*GeV, 355.0*GeV, 350.0*GeV], [625.0*GeV, 350.0*GeV]], 0.114669595062*pb],
[[[625.0*GeV, 380.0*GeV, 375.0*GeV], [625.0*GeV, 375.0*GeV]], 0.158283593406*pb],
[[[625.0*GeV, 405.0*GeV, 400.0*GeV], [625.0*GeV, 400.0*GeV]], 0.213511462465*pb],
[[[625.0*GeV, 430.0*GeV, 425.0*GeV], [625.0*GeV, 425.0*GeV]], 0.279112039532*pb],
[[[625.0*GeV, 455.0*GeV, 450.0*GeV], [625.0*GeV, 450.0*GeV]], 0.344760540529*pb],
[[[625.0*GeV, 480.0*GeV, 475.0*GeV], [625.0*GeV, 475.0*GeV]], 0.377374946615*pb],
[[[625.0*GeV, 505.0*GeV, 500.0*GeV], [625.0*GeV, 500.0*GeV]], 0.392914273739*pb],
[[[625.0*GeV, 530.0*GeV, 525.0*GeV], [625.0*GeV, 525.0*GeV]], 0.402243385596*pb],
[[[650.0*GeV, 5.0*GeV, 0.0*GeV], [650.0*GeV, 0.0*GeV]], 0.0118682420806*pb],
[[[650.0*GeV, 30.0*GeV, 25.0*GeV], [650.0*GeV, 25.0*GeV]], 0.0117785442974*pb],
[[[650.0*GeV, 55.0*GeV, 50.0*GeV], [650.0*GeV, 50.0*GeV]], 0.0120199742041*pb],
[[[650.0*GeV, 80.0*GeV, 75.0*GeV], [650.0*GeV, 75.0*GeV]], 0.0121488023746*pb],
[[[650.0*GeV, 105.0*GeV, 100.0*GeV], [650.0*GeV, 100.0*GeV]], 0.0122418877928*pb],
[[[650.0*GeV, 130.0*GeV, 125.0*GeV], [650.0*GeV, 125.0*GeV]], 0.0125266458659*pb],
[[[650.0*GeV, 155.0*GeV, 150.0*GeV], [650.0*GeV, 150.0*GeV]], 0.0131317961571*pb],
[[[650.0*GeV, 180.0*GeV, 175.0*GeV], [650.0*GeV, 175.0*GeV]], 0.0139412718931*pb],
[[[650.0*GeV, 205.0*GeV, 200.0*GeV], [650.0*GeV, 200.0*GeV]], 0.0152515517772*pb],
[[[650.0*GeV, 230.0*GeV, 225.0*GeV], [650.0*GeV, 225.0*GeV]], 0.0172531719113*pb],
[[[650.0*GeV, 255.0*GeV, 250.0*GeV], [650.0*GeV, 250.0*GeV]], 0.0205108109245*pb],
[[[650.0*GeV, 280.0*GeV, 275.0*GeV], [650.0*GeV, 275.0*GeV]], 0.0269058547861*pb],
[[[650.0*GeV, 305.0*GeV, 300.0*GeV], [650.0*GeV, 300.0*GeV]], 0.0365620210208*pb],
[[[650.0*GeV, 330.0*GeV, 325.0*GeV], [650.0*GeV, 325.0*GeV]], 0.0499850440298*pb],
[[[650.0*GeV, 355.0*GeV, 350.0*GeV], [650.0*GeV, 350.0*GeV]], 0.0682996725594*pb],
[[[650.0*GeV, 380.0*GeV, 375.0*GeV], [650.0*GeV, 375.0*GeV]], 0.0971365883175*pb],
[[[650.0*GeV, 405.0*GeV, 400.0*GeV], [650.0*GeV, 400.0*GeV]], 0.136345751549*pb],
[[[650.0*GeV, 430.0*GeV, 425.0*GeV], [650.0*GeV, 425.0*GeV]], 0.185971666871*pb],
[[[650.0*GeV, 455.0*GeV, 450.0*GeV], [650.0*GeV, 450.0*GeV]], 0.238430208522*pb],
[[[650.0*GeV, 480.0*GeV, 475.0*GeV], [650.0*GeV, 475.0*GeV]], 0.262684151675*pb],
[[[650.0*GeV, 505.0*GeV, 500.0*GeV], [650.0*GeV, 500.0*GeV]], 0.273492717346*pb],
[[[650.0*GeV, 530.0*GeV, 525.0*GeV], [650.0*GeV, 525.0*GeV]], 0.279897812905*pb],
[[[650.0*GeV, 555.0*GeV, 550.0*GeV], [650.0*GeV, 550.0*GeV]], 0.28740153096*pb],
[[[675.0*GeV, 5.0*GeV, 0.0*GeV], [675.0*GeV, 0.0*GeV]], 0.0109442027591*pb],
[[[675.0*GeV, 30.0*GeV, 25.0*GeV], [675.0*GeV, 25.0*GeV]], 0.0112020243621*pb],
[[[675.0*GeV, 55.0*GeV, 50.0*GeV], [675.0*GeV, 50.0*GeV]], 0.0111448194298*pb],
[[[675.0*GeV, 80.0*GeV, 75.0*GeV], [675.0*GeV, 75.0*GeV]], 0.0111427032283*pb],
[[[675.0*GeV, 105.0*GeV, 100.0*GeV], [675.0*GeV, 100.0*GeV]], 0.0111391183123*pb],
[[[675.0*GeV, 130.0*GeV, 125.0*GeV], [675.0*GeV, 125.0*GeV]], 0.0112978966473*pb],
[[[675.0*GeV, 155.0*GeV, 150.0*GeV], [675.0*GeV, 150.0*GeV]], 0.0116717763029*pb],
[[[675.0*GeV, 180.0*GeV, 175.0*GeV], [675.0*GeV, 175.0*GeV]], 0.0121860876942*pb],
[[[675.0*GeV, 205.0*GeV, 200.0*GeV], [675.0*GeV, 200.0*GeV]], 0.0130335585489*pb],
[[[675.0*GeV, 230.0*GeV, 225.0*GeV], [675.0*GeV, 225.0*GeV]], 0.0143698717286*pb],
[[[675.0*GeV, 255.0*GeV, 250.0*GeV], [675.0*GeV, 250.0*GeV]], 0.0165469722181*pb],
[[[675.0*GeV, 280.0*GeV, 275.0*GeV], [675.0*GeV, 275.0*GeV]], 0.0204027277705*pb],
[[[675.0*GeV, 305.0*GeV, 300.0*GeV], [675.0*GeV, 300.0*GeV]], 0.0259324844965*pb],
[[[675.0*GeV, 330.0*GeV, 325.0*GeV], [675.0*GeV, 325.0*GeV]], 0.0332673558319*pb],
[[[675.0*GeV, 355.0*GeV, 350.0*GeV], [675.0*GeV, 350.0*GeV]], 0.0436828343568*pb],
[[[675.0*GeV, 380.0*GeV, 375.0*GeV], [675.0*GeV, 375.0*GeV]], 0.0616801939979*pb],
[[[675.0*GeV, 405.0*GeV, 400.0*GeV], [675.0*GeV, 400.0*GeV]], 0.0879265353266*pb],
[[[675.0*GeV, 430.0*GeV, 425.0*GeV], [675.0*GeV, 425.0*GeV]], 0.122105418082*pb],
[[[675.0*GeV, 455.0*GeV, 450.0*GeV], [675.0*GeV, 450.0*GeV]], 0.15965098995*pb],
[[[675.0*GeV, 480.0*GeV, 475.0*GeV], [675.0*GeV, 475.0*GeV]], 0.178609753604*pb],
[[[675.0*GeV, 505.0*GeV, 500.0*GeV], [675.0*GeV, 500.0*GeV]], 0.188538094066*pb],
[[[675.0*GeV, 530.0*GeV, 525.0*GeV], [675.0*GeV, 525.0*GeV]], 0.194420650465*pb],
[[[675.0*GeV, 555.0*GeV, 550.0*GeV], [675.0*GeV, 550.0*GeV]], 0.201211905534*pb],
[[[675.0*GeV, 580.0*GeV, 575.0*GeV], [675.0*GeV, 575.0*GeV]], 0.216875278202*pb],
[[[700.0*GeV, 5.0*GeV, 0.0*GeV], [700.0*GeV, 0.0*GeV]], 0.00993716781605*pb],
[[[700.0*GeV, 30.0*GeV, 25.0*GeV], [700.0*GeV, 25.0*GeV]], 0.0098966507218*pb],
[[[700.0*GeV, 55.0*GeV, 50.0*GeV], [700.0*GeV, 50.0*GeV]], 0.0104769694781*pb],
[[[700.0*GeV, 80.0*GeV, 75.0*GeV], [700.0*GeV, 75.0*GeV]], 0.0102691890742*pb],
[[[700.0*GeV, 105.0*GeV, 100.0*GeV], [700.0*GeV, 100.0*GeV]], 0.0101791993048*pb],
[[[700.0*GeV, 130.0*GeV, 125.0*GeV], [700.0*GeV, 125.0*GeV]], 0.0102395326053*pb],
[[[700.0*GeV, 155.0*GeV, 150.0*GeV], [700.0*GeV, 150.0*GeV]], 0.0104262198812*pb],
[[[700.0*GeV, 180.0*GeV, 175.0*GeV], [700.0*GeV, 175.0*GeV]], 0.0107991792598*pb],
[[[700.0*GeV, 205.0*GeV, 200.0*GeV], [700.0*GeV, 200.0*GeV]], 0.0113889638431*pb],
[[[700.0*GeV, 230.0*GeV, 225.0*GeV], [700.0*GeV, 225.0*GeV]], 0.0123321609974*pb],
[[[700.0*GeV, 255.0*GeV, 250.0*GeV], [700.0*GeV, 250.0*GeV]], 0.0138081405237*pb],
[[[700.0*GeV, 280.0*GeV, 275.0*GeV], [700.0*GeV, 275.0*GeV]], 0.0161954986442*pb],
[[[700.0*GeV, 305.0*GeV, 300.0*GeV], [700.0*GeV, 300.0*GeV]], 0.0194534488921*pb],
[[[700.0*GeV, 330.0*GeV, 325.0*GeV], [700.0*GeV, 325.0*GeV]], 0.0236402986961*pb],
[[[700.0*GeV, 355.0*GeV, 350.0*GeV], [700.0*GeV, 350.0*GeV]], 0.0293644399432*pb],
[[[700.0*GeV, 380.0*GeV, 375.0*GeV], [700.0*GeV, 375.0*GeV]], 0.0411776249444*pb],
[[[700.0*GeV, 405.0*GeV, 400.0*GeV], [700.0*GeV, 400.0*GeV]], 0.058103228011*pb],
[[[700.0*GeV, 430.0*GeV, 425.0*GeV], [700.0*GeV, 425.0*GeV]], 0.0798611913662*pb],
[[[700.0*GeV, 455.0*GeV, 450.0*GeV], [700.0*GeV, 450.0*GeV]], 0.103362266101*pb],
[[[700.0*GeV, 480.0*GeV, 475.0*GeV], [700.0*GeV, 475.0*GeV]], 0.119800880711*pb],
[[[700.0*GeV, 505.0*GeV, 500.0*GeV], [700.0*GeV, 500.0*GeV]], 0.130490090823*pb],
[[[700.0*GeV, 530.0*GeV, 525.0*GeV], [700.0*GeV, 525.0*GeV]], 0.137463959088*pb],
[[[700.0*GeV, 555.0*GeV, 550.0*GeV], [700.0*GeV, 550.0*GeV]], 0.142655991371*pb],
[[[700.0*GeV, 580.0*GeV, 575.0*GeV], [700.0*GeV, 575.0*GeV]], 0.158999867633*pb],
[[[700.0*GeV, 605.0*GeV, 600.0*GeV], [700.0*GeV, 600.0*GeV]], 0.175791293891*pb],
[[[725.0*GeV, 5.0*GeV, 0.0*GeV], [725.0*GeV, 0.0*GeV]], 0.00912166724826*pb],
[[[725.0*GeV, 30.0*GeV, 25.0*GeV], [725.0*GeV, 25.0*GeV]], 0.00911285544151*pb],
[[[725.0*GeV, 55.0*GeV, 50.0*GeV], [725.0*GeV, 50.0*GeV]], 0.00918921801743*pb],
[[[725.0*GeV, 80.0*GeV, 75.0*GeV], [725.0*GeV, 75.0*GeV]], 0.00930760876256*pb],
[[[725.0*GeV, 105.0*GeV, 100.0*GeV], [725.0*GeV, 100.0*GeV]], 0.00930359841868*pb],
[[[725.0*GeV, 130.0*GeV, 125.0*GeV], [725.0*GeV, 125.0*GeV]], 0.00935556174353*pb],
[[[725.0*GeV, 155.0*GeV, 150.0*GeV], [725.0*GeV, 150.0*GeV]], 0.00950365510932*pb],
[[[725.0*GeV, 180.0*GeV, 175.0*GeV], [725.0*GeV, 175.0*GeV]], 0.0097100444294*pb],
[[[725.0*GeV, 205.0*GeV, 200.0*GeV], [725.0*GeV, 200.0*GeV]], 0.010101409225*pb],
[[[725.0*GeV, 230.0*GeV, 225.0*GeV], [725.0*GeV, 225.0*GeV]], 0.0107879936375*pb],
[[[725.0*GeV, 255.0*GeV, 250.0*GeV], [725.0*GeV, 250.0*GeV]], 0.0118728207405*pb],
[[[725.0*GeV, 280.0*GeV, 275.0*GeV], [725.0*GeV, 275.0*GeV]], 0.0133289997318*pb],
[[[725.0*GeV, 305.0*GeV, 300.0*GeV], [725.0*GeV, 300.0*GeV]], 0.0153567541954*pb],
[[[725.0*GeV, 330.0*GeV, 325.0*GeV], [725.0*GeV, 325.0*GeV]], 0.0181144740478*pb],
[[[725.0*GeV, 355.0*GeV, 350.0*GeV], [725.0*GeV, 350.0*GeV]], 0.0221769488722*pb],
[[[725.0*GeV, 380.0*GeV, 375.0*GeV], [725.0*GeV, 375.0*GeV]], 0.0294191227197*pb],
[[[725.0*GeV, 405.0*GeV, 400.0*GeV], [725.0*GeV, 400.0*GeV]], 0.0398380860943*pb],
[[[725.0*GeV, 430.0*GeV, 425.0*GeV], [725.0*GeV, 425.0*GeV]], 0.0532495173983*pb],
[[[725.0*GeV, 455.0*GeV, 450.0*GeV], [725.0*GeV, 450.0*GeV]], 0.068620388326*pb],
[[[725.0*GeV, 480.0*GeV, 475.0*GeV], [725.0*GeV, 475.0*GeV]], 0.0811965824159*pb],
[[[725.0*GeV, 505.0*GeV, 500.0*GeV], [725.0*GeV, 500.0*GeV]], 0.0921461939593*pb],
[[[725.0*GeV, 530.0*GeV, 525.0*GeV], [725.0*GeV, 525.0*GeV]], 0.101683925512*pb],
[[[725.0*GeV, 555.0*GeV, 550.0*GeV], [725.0*GeV, 550.0*GeV]], 0.110598756616*pb],
[[[725.0*GeV, 580.0*GeV, 575.0*GeV], [725.0*GeV, 575.0*GeV]], 0.122339227274*pb],
[[[725.0*GeV, 605.0*GeV, 600.0*GeV], [725.0*GeV, 600.0*GeV]], 0.134453716368*pb],
[[[725.0*GeV, 630.0*GeV, 625.0*GeV], [725.0*GeV, 625.0*GeV]], 0.146279552272*pb],
[[[750.0*GeV, 5.0*GeV, 0.0*GeV], [750.0*GeV, 0.0*GeV]], 0.00845721663009*pb],
[[[750.0*GeV, 30.0*GeV, 25.0*GeV], [750.0*GeV, 25.0*GeV]], 0.00847128710323*pb],
[[[750.0*GeV, 55.0*GeV, 50.0*GeV], [750.0*GeV, 50.0*GeV]], 0.00856548046122*pb],
[[[750.0*GeV, 80.0*GeV, 75.0*GeV], [750.0*GeV, 75.0*GeV]], 0.0085480807314*pb],
[[[750.0*GeV, 105.0*GeV, 100.0*GeV], [750.0*GeV, 100.0*GeV]], 0.00854011966372*pb],
[[[750.0*GeV, 130.0*GeV, 125.0*GeV], [750.0*GeV, 125.0*GeV]], 0.00858226612216*pb],
[[[750.0*GeV, 155.0*GeV, 150.0*GeV], [750.0*GeV, 150.0*GeV]], 0.00870390211743*pb],
[[[750.0*GeV, 180.0*GeV, 175.0*GeV], [750.0*GeV, 175.0*GeV]], 0.0087920748659*pb],
[[[750.0*GeV, 205.0*GeV, 200.0*GeV], [750.0*GeV, 200.0*GeV]], 0.00902629277697*pb],
[[[750.0*GeV, 230.0*GeV, 225.0*GeV], [750.0*GeV, 225.0*GeV]], 0.00948464991315*pb],
[[[750.0*GeV, 255.0*GeV, 250.0*GeV], [750.0*GeV, 250.0*GeV]], 0.0102554548391*pb],
[[[750.0*GeV, 280.0*GeV, 275.0*GeV], [750.0*GeV, 275.0*GeV]], 0.0111753890395*pb],
[[[750.0*GeV, 305.0*GeV, 300.0*GeV], [750.0*GeV, 300.0*GeV]], 0.0125418447792*pb],
[[[750.0*GeV, 330.0*GeV, 325.0*GeV], [750.0*GeV, 325.0*GeV]], 0.0145150018458*pb],
[[[750.0*GeV, 355.0*GeV, 350.0*GeV], [750.0*GeV, 350.0*GeV]], 0.0175344385878*pb],
[[[750.0*GeV, 380.0*GeV, 375.0*GeV], [750.0*GeV, 375.0*GeV]], 0.0219808964186*pb],
[[[750.0*GeV, 405.0*GeV, 400.0*GeV], [750.0*GeV, 400.0*GeV]], 0.0283225218073*pb],
[[[750.0*GeV, 430.0*GeV, 425.0*GeV], [750.0*GeV, 425.0*GeV]], 0.0364118904279*pb],
[[[750.0*GeV, 455.0*GeV, 450.0*GeV], [750.0*GeV, 450.0*GeV]], 0.0457642452253*pb],
[[[750.0*GeV, 480.0*GeV, 475.0*GeV], [750.0*GeV, 475.0*GeV]], 0.0559630602087*pb],
[[[750.0*GeV, 505.0*GeV, 500.0*GeV], [750.0*GeV, 500.0*GeV]], 0.0665005342619*pb],
[[[750.0*GeV, 530.0*GeV, 525.0*GeV], [750.0*GeV, 525.0*GeV]], 0.0774324130274*pb],
[[[750.0*GeV, 555.0*GeV, 550.0*GeV], [750.0*GeV, 550.0*GeV]], 0.088539918251*pb],
[[[750.0*GeV, 580.0*GeV, 575.0*GeV], [750.0*GeV, 575.0*GeV]], 0.0966744962823*pb],
[[[750.0*GeV, 605.0*GeV, 600.0*GeV], [750.0*GeV, 600.0*GeV]], 0.104600885094*pb],
[[[750.0*GeV, 630.0*GeV, 625.0*GeV], [750.0*GeV, 625.0*GeV]], 0.112906707567*pb],
[[[750.0*GeV, 655.0*GeV, 650.0*GeV], [750.0*GeV, 650.0*GeV]], 0.121761706867*pb],
[[[775.0*GeV, 5.0*GeV, 0.0*GeV], [775.0*GeV, 0.0*GeV]], 0.00785210655531*pb],
[[[775.0*GeV, 30.0*GeV, 25.0*GeV], [775.0*GeV, 25.0*GeV]], 0.00788067395817*pb],
[[[775.0*GeV, 55.0*GeV, 50.0*GeV], [775.0*GeV, 50.0*GeV]], 0.00793443809497*pb],
[[[775.0*GeV, 80.0*GeV, 75.0*GeV], [775.0*GeV, 75.0*GeV]], 0.00791056836045*pb],
[[[775.0*GeV, 105.0*GeV, 100.0*GeV], [775.0*GeV, 100.0*GeV]], 0.00788474013164*pb],
[[[775.0*GeV, 130.0*GeV, 125.0*GeV], [775.0*GeV, 125.0*GeV]], 0.00788247964029*pb],
[[[775.0*GeV, 155.0*GeV, 150.0*GeV], [775.0*GeV, 150.0*GeV]], 0.00791989946888*pb],
[[[775.0*GeV, 180.0*GeV, 175.0*GeV], [775.0*GeV, 175.0*GeV]], 0.00799076553863*pb],
[[[775.0*GeV, 205.0*GeV, 200.0*GeV], [775.0*GeV, 200.0*GeV]], 0.00812679087351*pb],
[[[775.0*GeV, 230.0*GeV, 225.0*GeV], [775.0*GeV, 225.0*GeV]], 0.00834998675981*pb],
[[[775.0*GeV, 255.0*GeV, 250.0*GeV], [775.0*GeV, 250.0*GeV]], 0.00874393501443*pb],
[[[775.0*GeV, 280.0*GeV, 275.0*GeV], [775.0*GeV, 275.0*GeV]], 0.00946701685752*pb],
[[[775.0*GeV, 305.0*GeV, 300.0*GeV], [775.0*GeV, 300.0*GeV]], 0.0104762322598*pb],
[[[775.0*GeV, 330.0*GeV, 325.0*GeV], [775.0*GeV, 325.0*GeV]], 0.0118192545029*pb],
[[[775.0*GeV, 355.0*GeV, 350.0*GeV], [775.0*GeV, 350.0*GeV]], 0.0137727557294*pb],
[[[775.0*GeV, 380.0*GeV, 375.0*GeV], [775.0*GeV, 375.0*GeV]], 0.0167716855635*pb],
[[[775.0*GeV, 405.0*GeV, 400.0*GeV], [775.0*GeV, 400.0*GeV]], 0.0208508514991*pb],
[[[775.0*GeV, 430.0*GeV, 425.0*GeV], [775.0*GeV, 425.0*GeV]], 0.025849635343*pb],
[[[775.0*GeV, 455.0*GeV, 450.0*GeV], [775.0*GeV, 450.0*GeV]], 0.0318950923645*pb],
[[[775.0*GeV, 480.0*GeV, 475.0*GeV], [775.0*GeV, 475.0*GeV]], 0.0396460015319*pb],
[[[775.0*GeV, 505.0*GeV, 500.0*GeV], [775.0*GeV, 500.0*GeV]], 0.0488252719498*pb],
[[[775.0*GeV, 530.0*GeV, 525.0*GeV], [775.0*GeV, 525.0*GeV]], 0.0590941159713*pb],
[[[775.0*GeV, 555.0*GeV, 550.0*GeV], [775.0*GeV, 550.0*GeV]], 0.0695739446622*pb],
[[[775.0*GeV, 580.0*GeV, 575.0*GeV], [775.0*GeV, 575.0*GeV]], 0.075944956071*pb],
[[[775.0*GeV, 605.0*GeV, 600.0*GeV], [775.0*GeV, 600.0*GeV]], 0.0814518469991*pb],
[[[775.0*GeV, 630.0*GeV, 625.0*GeV], [775.0*GeV, 625.0*GeV]], 0.0873918626774*pb],
[[[775.0*GeV, 655.0*GeV, 650.0*GeV], [775.0*GeV, 650.0*GeV]], 0.094097350825*pb],
[[[775.0*GeV, 680.0*GeV, 675.0*GeV], [775.0*GeV, 675.0*GeV]], 0.101715466801*pb],
[[[800.0*GeV, 5.0*GeV, 0.0*GeV], [800.0*GeV, 0.0*GeV]], 0.00726403451459*pb],
[[[800.0*GeV, 30.0*GeV, 25.0*GeV], [800.0*GeV, 25.0*GeV]], 0.00730417779946*pb],
[[[800.0*GeV, 55.0*GeV, 50.0*GeV], [800.0*GeV, 50.0*GeV]], 0.00733133023719*pb],
[[[800.0*GeV, 80.0*GeV, 75.0*GeV], [800.0*GeV, 75.0*GeV]], 0.00735658532388*pb],
[[[800.0*GeV, 105.0*GeV, 100.0*GeV], [800.0*GeV, 100.0*GeV]], 0.00734038222901*pb],
[[[800.0*GeV, 130.0*GeV, 125.0*GeV], [800.0*GeV, 125.0*GeV]], 0.00731267984281*pb],
[[[800.0*GeV, 155.0*GeV, 150.0*GeV], [800.0*GeV, 150.0*GeV]], 0.00727912624016*pb],
[[[800.0*GeV, 180.0*GeV, 175.0*GeV], [800.0*GeV, 175.0*GeV]], 0.00737682921372*pb],
[[[800.0*GeV, 205.0*GeV, 200.0*GeV], [800.0*GeV, 200.0*GeV]], 0.00746791000355*pb],
[[[800.0*GeV, 230.0*GeV, 225.0*GeV], [800.0*GeV, 225.0*GeV]], 0.00753898041459*pb],
[[[800.0*GeV, 255.0*GeV, 250.0*GeV], [800.0*GeV, 250.0*GeV]], 0.0076314578794*pb],
[[[800.0*GeV, 280.0*GeV, 275.0*GeV], [800.0*GeV, 275.0*GeV]], 0.00827868096329*pb],
[[[800.0*GeV, 305.0*GeV, 300.0*GeV], [800.0*GeV, 300.0*GeV]], 0.00903560296572*pb],
[[[800.0*GeV, 330.0*GeV, 325.0*GeV], [800.0*GeV, 325.0*GeV]], 0.009904945501*pb],
[[[800.0*GeV, 355.0*GeV, 350.0*GeV], [800.0*GeV, 350.0*GeV]], 0.0110153085968*pb],
[[[800.0*GeV, 380.0*GeV, 375.0*GeV], [800.0*GeV, 375.0*GeV]], 0.013252872082*pb],
[[[800.0*GeV, 405.0*GeV, 400.0*GeV], [800.0*GeV, 400.0*GeV]], 0.0160522164577*pb],
[[[800.0*GeV, 430.0*GeV, 425.0*GeV], [800.0*GeV, 425.0*GeV]], 0.0192835542692*pb],
[[[800.0*GeV, 455.0*GeV, 450.0*GeV], [800.0*GeV, 450.0*GeV]], 0.0230268291435*pb],
[[[800.0*GeV, 480.0*GeV, 475.0*GeV], [800.0*GeV, 475.0*GeV]], 0.0291347904872*pb],
[[[800.0*GeV, 505.0*GeV, 500.0*GeV], [800.0*GeV, 500.0*GeV]], 0.036507648979*pb],
[[[800.0*GeV, 530.0*GeV, 525.0*GeV], [800.0*GeV, 525.0*GeV]], 0.0448998944532*pb],
[[[800.0*GeV, 555.0*GeV, 550.0*GeV], [800.0*GeV, 550.0*GeV]], 0.0534047818954*pb],
[[[800.0*GeV, 580.0*GeV, 575.0*GeV], [800.0*GeV, 575.0*GeV]], 0.0586429817051*pb],
[[[800.0*GeV, 605.0*GeV, 600.0*GeV], [800.0*GeV, 600.0*GeV]], 0.0628896501592*pb],
[[[800.0*GeV, 630.0*GeV, 625.0*GeV], [800.0*GeV, 625.0*GeV]], 0.0674299701029*pb],
[[[800.0*GeV, 655.0*GeV, 650.0*GeV], [800.0*GeV, 650.0*GeV]], 0.0727112288832*pb],
[[[800.0*GeV, 680.0*GeV, 675.0*GeV], [800.0*GeV, 675.0*GeV]], 0.0789441308948*pb],
[[[800.0*GeV, 705.0*GeV, 700.0*GeV], [800.0*GeV, 700.0*GeV]], 0.0861887116053*pb],
[[[825.0*GeV, 5.0*GeV, 0.0*GeV], [825.0*GeV, 0.0*GeV]], 0.00672184775053*pb],
[[[825.0*GeV, 30.0*GeV, 25.0*GeV], [825.0*GeV, 25.0*GeV]], 0.00662424829745*pb],
[[[825.0*GeV, 55.0*GeV, 50.0*GeV], [825.0*GeV, 50.0*GeV]], 0.00688079172787*pb],
[[[825.0*GeV, 80.0*GeV, 75.0*GeV], [825.0*GeV, 75.0*GeV]], 0.00689556097327*pb],
[[[825.0*GeV, 105.0*GeV, 100.0*GeV], [825.0*GeV, 100.0*GeV]], 0.00691271002307*pb],
[[[825.0*GeV, 130.0*GeV, 125.0*GeV], [825.0*GeV, 125.0*GeV]], 0.00692324870648*pb],
[[[825.0*GeV, 155.0*GeV, 150.0*GeV], [825.0*GeV, 150.0*GeV]], 0.00693356728058*pb],
[[[825.0*GeV, 180.0*GeV, 175.0*GeV], [825.0*GeV, 175.0*GeV]], 0.00700206742951*pb],
[[[825.0*GeV, 205.0*GeV, 200.0*GeV], [825.0*GeV, 200.0*GeV]], 0.00707630238502*pb],
[[[825.0*GeV, 230.0*GeV, 225.0*GeV], [825.0*GeV, 225.0*GeV]], 0.00715519979216*pb],
[[[825.0*GeV, 255.0*GeV, 250.0*GeV], [825.0*GeV, 250.0*GeV]], 0.0072917053683*pb],
[[[825.0*GeV, 280.0*GeV, 275.0*GeV], [825.0*GeV, 275.0*GeV]], 0.00765179378883*pb],
[[[825.0*GeV, 305.0*GeV, 300.0*GeV], [825.0*GeV, 300.0*GeV]], 0.0081315858587*pb],
[[[825.0*GeV, 330.0*GeV, 325.0*GeV], [825.0*GeV, 325.0*GeV]], 0.00874665733788*pb],
[[[825.0*GeV, 355.0*GeV, 350.0*GeV], [825.0*GeV, 350.0*GeV]], 0.0096320914176*pb],
