txName: T6bbWW
conditionDescription: None
condition: None
constraint: [[['b'],['W']],[['b'],['W']]]
dataUrl: https://twiki.cern.ch/twiki/bin/view/CMSPublic/PhysicsResultsSUS13013
validated: None
axes: 2*Eq(mother,x)_Eq(inter0,y)_Eq(lsp,50);2*Eq(mother,x)_Eq(inter0,2.0*y)_Eq(lsp,y);2*Eq(mother,x)_Eq(inter0,1.25*y)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[325.0*GeV, 150.0*GeV, 50*GeV], [325.0*GeV, 150.0*GeV, 50*GeV]], 0.145311*pb],
[[[600.0*GeV, 450.0*GeV, 225.0*GeV], [600.0*GeV, 450.0*GeV, 225.0*GeV]], 0.0872149*pb],
[[[600.0*GeV, 500.0*GeV, 250.0*GeV], [600.0*GeV, 500.0*GeV, 250.0*GeV]], 0.101122*pb],
[[[625.0*GeV, 50.0*GeV, 25.0*GeV], [625.0*GeV, 50.0*GeV, 25.0*GeV]], 0.043468*pb],
[[[625.0*GeV, 100.0*GeV, 50.0*GeV], [625.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0468564*pb],
[[[625.0*GeV, 150.0*GeV, 75.0*GeV], [625.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0428388*pb],
[[[625.0*GeV, 200.0*GeV, 100.0*GeV], [625.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0405193*pb],
[[[625.0*GeV, 250.0*GeV, 125.0*GeV], [625.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0421867*pb],
[[[625.0*GeV, 300.0*GeV, 150.0*GeV], [625.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0463383*pb],
[[[625.0*GeV, 350.0*GeV, 175.0*GeV], [625.0*GeV, 350.0*GeV, 175.0*GeV]], 0.0486448*pb],
[[[625.0*GeV, 400.0*GeV, 200.0*GeV], [625.0*GeV, 400.0*GeV, 200.0*GeV]], 0.0515976*pb],
[[[625.0*GeV, 450.0*GeV, 225.0*GeV], [625.0*GeV, 450.0*GeV, 225.0*GeV]], 0.0567144*pb],
[[[625.0*GeV, 500.0*GeV, 250.0*GeV], [625.0*GeV, 500.0*GeV, 250.0*GeV]], 0.125616*pb],
[[[650.0*GeV, 50.0*GeV, 25.0*GeV], [650.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0411257*pb],
[[[650.0*GeV, 100.0*GeV, 50.0*GeV], [650.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0423407*pb],
[[[650.0*GeV, 150.0*GeV, 75.0*GeV], [650.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0378142*pb],
[[[650.0*GeV, 200.0*GeV, 100.0*GeV], [650.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0390536*pb],
[[[650.0*GeV, 250.0*GeV, 125.0*GeV], [650.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0403459*pb],
[[[650.0*GeV, 300.0*GeV, 150.0*GeV], [650.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0431569*pb],
[[[650.0*GeV, 350.0*GeV, 175.0*GeV], [650.0*GeV, 350.0*GeV, 175.0*GeV]], 0.043751*pb],
[[[650.0*GeV, 400.0*GeV, 200.0*GeV], [650.0*GeV, 400.0*GeV, 200.0*GeV]], 0.0486062*pb],
[[[650.0*GeV, 450.0*GeV, 225.0*GeV], [650.0*GeV, 450.0*GeV, 225.0*GeV]], 0.0491398*pb],
[[[650.0*GeV, 500.0*GeV, 250.0*GeV], [650.0*GeV, 500.0*GeV, 250.0*GeV]], 0.0821586*pb],
[[[650.0*GeV, 550.0*GeV, 275.0*GeV], [650.0*GeV, 550.0*GeV, 275.0*GeV]], 0.0940773*pb],
[[[675.0*GeV, 50.0*GeV, 25.0*GeV], [675.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0378302*pb],
[[[675.0*GeV, 100.0*GeV, 50.0*GeV], [675.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0377639*pb],
[[[675.0*GeV, 150.0*GeV, 75.0*GeV], [675.0*GeV, 150.0*GeV, 75.0*GeV]], 0.037238*pb],
[[[675.0*GeV, 200.0*GeV, 100.0*GeV], [675.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0350763*pb],
[[[675.0*GeV, 250.0*GeV, 125.0*GeV], [675.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0372373*pb],
[[[675.0*GeV, 300.0*GeV, 150.0*GeV], [675.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0398151*pb],
[[[675.0*GeV, 350.0*GeV, 175.0*GeV], [675.0*GeV, 350.0*GeV, 175.0*GeV]], 0.0432105*pb],
[[[675.0*GeV, 400.0*GeV, 200.0*GeV], [675.0*GeV, 400.0*GeV, 200.0*GeV]], 0.0449871*pb],
[[[675.0*GeV, 450.0*GeV, 225.0*GeV], [675.0*GeV, 450.0*GeV, 225.0*GeV]], 0.0482119*pb],
[[[675.0*GeV, 500.0*GeV, 250.0*GeV], [675.0*GeV, 500.0*GeV, 250.0*GeV]], 0.051751*pb],
[[[675.0*GeV, 550.0*GeV, 275.0*GeV], [675.0*GeV, 550.0*GeV, 275.0*GeV]], 0.100992*pb],
[[[300.0*GeV, 31.25*GeV, 25.0*GeV], [300.0*GeV, 31.25*GeV, 25.0*GeV]], 0.322174*pb],
[[[300.0*GeV, 62.5*GeV, 50.0*GeV], [300.0*GeV, 62.5*GeV, 50.0*GeV]], 0.429614*pb],
[[[300.0*GeV, 93.75*GeV, 75.0*GeV], [300.0*GeV, 93.75*GeV, 75.0*GeV]], 0.492305*pb],
[[[300.0*GeV, 125.0*GeV, 100.0*GeV], [300.0*GeV, 125.0*GeV, 100.0*GeV]], 0.681313*pb],
[[[300.0*GeV, 156.25*GeV, 125.0*GeV], [300.0*GeV, 156.25*GeV, 125.0*GeV]], 1.0642*pb],
[[[300.0*GeV, 187.5*GeV, 150.0*GeV], [300.0*GeV, 187.5*GeV, 150.0*GeV]], 2.03296*pb],
[[[325.0*GeV, 31.25*GeV, 25.0*GeV], [325.0*GeV, 31.25*GeV, 25.0*GeV]], 0.219719*pb],
[[[325.0*GeV, 62.5*GeV, 50.0*GeV], [325.0*GeV, 62.5*GeV, 50.0*GeV]], 0.278698*pb],
[[[325.0*GeV, 93.75*GeV, 75.0*GeV], [325.0*GeV, 93.75*GeV, 75.0*GeV]], 0.347624*pb],
[[[325.0*GeV, 125.0*GeV, 100.0*GeV], [325.0*GeV, 125.0*GeV, 100.0*GeV]], 0.375356*pb],
[[[325.0*GeV, 156.25*GeV, 125.0*GeV], [325.0*GeV, 156.25*GeV, 125.0*GeV]], 0.498154*pb],
[[[325.0*GeV, 187.5*GeV, 150.0*GeV], [325.0*GeV, 187.5*GeV, 150.0*GeV]], 0.806413*pb],
[[[325.0*GeV, 218.75*GeV, 175.0*GeV], [325.0*GeV, 218.75*GeV, 175.0*GeV]], 1.09237*pb],
[[[350.0*GeV, 31.25*GeV, 25.0*GeV], [350.0*GeV, 31.25*GeV, 25.0*GeV]], 0.159249*pb],
[[[350.0*GeV, 62.5*GeV, 50.0*GeV], [350.0*GeV, 62.5*GeV, 50.0*GeV]], 0.159163*pb],
[[[350.0*GeV, 93.75*GeV, 75.0*GeV], [350.0*GeV, 93.75*GeV, 75.0*GeV]], 0.209978*pb],
[[[350.0*GeV, 125.0*GeV, 100.0*GeV], [350.0*GeV, 125.0*GeV, 100.0*GeV]], 0.27614*pb],
[[[350.0*GeV, 156.25*GeV, 125.0*GeV], [350.0*GeV, 156.25*GeV, 125.0*GeV]], 0.35215*pb],
[[[350.0*GeV, 187.5*GeV, 150.0*GeV], [350.0*GeV, 187.5*GeV, 150.0*GeV]], 0.467342*pb],
[[[350.0*GeV, 218.75*GeV, 175.0*GeV], [350.0*GeV, 218.75*GeV, 175.0*GeV]], 0.899922*pb],
[[[350.0*GeV, 250.0*GeV, 200.0*GeV], [350.0*GeV, 250.0*GeV, 200.0*GeV]], 1.40368*pb],
[[[375.0*GeV, 31.25*GeV, 25.0*GeV], [375.0*GeV, 31.25*GeV, 25.0*GeV]], 0.109981*pb],
[[[375.0*GeV, 62.5*GeV, 50.0*GeV], [375.0*GeV, 62.5*GeV, 50.0*GeV]], 0.125713*pb],
[[[375.0*GeV, 93.75*GeV, 75.0*GeV], [375.0*GeV, 93.75*GeV, 75.0*GeV]], 0.150289*pb],
[[[375.0*GeV, 125.0*GeV, 100.0*GeV], [375.0*GeV, 125.0*GeV, 100.0*GeV]], 0.166234*pb],
[[[375.0*GeV, 156.25*GeV, 125.0*GeV], [375.0*GeV, 156.25*GeV, 125.0*GeV]], 0.172346*pb],
[[[375.0*GeV, 187.5*GeV, 150.0*GeV], [375.0*GeV, 187.5*GeV, 150.0*GeV]], 0.320712*pb],
[[[375.0*GeV, 218.75*GeV, 175.0*GeV], [375.0*GeV, 218.75*GeV, 175.0*GeV]], 0.326803*pb],
[[[375.0*GeV, 250.0*GeV, 200.0*GeV], [375.0*GeV, 250.0*GeV, 200.0*GeV]], 0.826961*pb],
[[[375.0*GeV, 281.25*GeV, 225.0*GeV], [375.0*GeV, 281.25*GeV, 225.0*GeV]], 1.04551*pb],
[[[400.0*GeV, 31.25*GeV, 25.0*GeV], [400.0*GeV, 31.25*GeV, 25.0*GeV]], 0.106229*pb],
[[[400.0*GeV, 62.5*GeV, 50.0*GeV], [400.0*GeV, 62.5*GeV, 50.0*GeV]], 0.108787*pb],
[[[400.0*GeV, 93.75*GeV, 75.0*GeV], [400.0*GeV, 93.75*GeV, 75.0*GeV]], 0.114474*pb],
[[[400.0*GeV, 125.0*GeV, 100.0*GeV], [400.0*GeV, 125.0*GeV, 100.0*GeV]], 0.128342*pb],
[[[400.0*GeV, 156.25*GeV, 125.0*GeV], [400.0*GeV, 156.25*GeV, 125.0*GeV]], 0.152496*pb],
[[[400.0*GeV, 187.5*GeV, 150.0*GeV], [400.0*GeV, 187.5*GeV, 150.0*GeV]], 0.168974*pb],
[[[400.0*GeV, 218.75*GeV, 175.0*GeV], [400.0*GeV, 218.75*GeV, 175.0*GeV]], 0.295313*pb],
[[[400.0*GeV, 250.0*GeV, 200.0*GeV], [400.0*GeV, 250.0*GeV, 200.0*GeV]], 0.432396*pb],
[[[400.0*GeV, 281.25*GeV, 225.0*GeV], [400.0*GeV, 281.25*GeV, 225.0*GeV]], 0.641307*pb],
[[[425.0*GeV, 31.25*GeV, 25.0*GeV], [425.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0833854*pb],
[[[425.0*GeV, 62.5*GeV, 50.0*GeV], [425.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0965379*pb],
[[[425.0*GeV, 93.75*GeV, 75.0*GeV], [425.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0968423*pb],
[[[425.0*GeV, 125.0*GeV, 100.0*GeV], [425.0*GeV, 125.0*GeV, 100.0*GeV]], 0.104521*pb],
[[[425.0*GeV, 156.25*GeV, 125.0*GeV], [425.0*GeV, 156.25*GeV, 125.0*GeV]], 0.105306*pb],
[[[425.0*GeV, 187.5*GeV, 150.0*GeV], [425.0*GeV, 187.5*GeV, 150.0*GeV]], 0.147861*pb],
[[[425.0*GeV, 218.75*GeV, 175.0*GeV], [425.0*GeV, 218.75*GeV, 175.0*GeV]], 0.144965*pb],
[[[425.0*GeV, 250.0*GeV, 200.0*GeV], [425.0*GeV, 250.0*GeV, 200.0*GeV]], 0.296555*pb],
[[[425.0*GeV, 281.25*GeV, 225.0*GeV], [425.0*GeV, 281.25*GeV, 225.0*GeV]], 0.367752*pb],
[[[425.0*GeV, 312.5*GeV, 250.0*GeV], [425.0*GeV, 312.5*GeV, 250.0*GeV]], 0.730435*pb],
[[[450.0*GeV, 31.25*GeV, 25.0*GeV], [450.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0751956*pb],
[[[450.0*GeV, 62.5*GeV, 50.0*GeV], [450.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0852572*pb],
[[[450.0*GeV, 93.75*GeV, 75.0*GeV], [450.0*GeV, 93.75*GeV, 75.0*GeV]], 0.087848*pb],
[[[450.0*GeV, 125.0*GeV, 100.0*GeV], [450.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0897543*pb],
[[[450.0*GeV, 156.25*GeV, 125.0*GeV], [450.0*GeV, 156.25*GeV, 125.0*GeV]], 0.0883472*pb],
[[[450.0*GeV, 187.5*GeV, 150.0*GeV], [450.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0966206*pb],
[[[450.0*GeV, 218.75*GeV, 175.0*GeV], [450.0*GeV, 218.75*GeV, 175.0*GeV]], 0.127332*pb],
[[[450.0*GeV, 250.0*GeV, 200.0*GeV], [450.0*GeV, 250.0*GeV, 200.0*GeV]], 0.177388*pb],
[[[450.0*GeV, 281.25*GeV, 225.0*GeV], [450.0*GeV, 281.25*GeV, 225.0*GeV]], 0.234689*pb],
[[[450.0*GeV, 312.5*GeV, 250.0*GeV], [450.0*GeV, 312.5*GeV, 250.0*GeV]], 0.360131*pb],
[[[450.0*GeV, 343.75*GeV, 275.0*GeV], [450.0*GeV, 343.75*GeV, 275.0*GeV]], 0.829696*pb],
[[[475.0*GeV, 31.25*GeV, 25.0*GeV], [475.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0649494*pb],
[[[475.0*GeV, 62.5*GeV, 50.0*GeV], [475.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0794604*pb],
[[[475.0*GeV, 93.75*GeV, 75.0*GeV], [475.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0723022*pb],
[[[475.0*GeV, 125.0*GeV, 100.0*GeV], [475.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0798865*pb],
[[[475.0*GeV, 156.25*GeV, 125.0*GeV], [475.0*GeV, 156.25*GeV, 125.0*GeV]], 0.085699*pb],
[[[475.0*GeV, 187.5*GeV, 150.0*GeV], [475.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0834077*pb],
[[[475.0*GeV, 218.75*GeV, 175.0*GeV], [475.0*GeV, 218.75*GeV, 175.0*GeV]], 0.100629*pb],
[[[475.0*GeV, 250.0*GeV, 200.0*GeV], [475.0*GeV, 250.0*GeV, 200.0*GeV]], 0.109162*pb],
[[[475.0*GeV, 281.25*GeV, 225.0*GeV], [475.0*GeV, 281.25*GeV, 225.0*GeV]], 0.17124*pb],
[[[475.0*GeV, 312.5*GeV, 250.0*GeV], [475.0*GeV, 312.5*GeV, 250.0*GeV]], 0.223689*pb],
[[[475.0*GeV, 343.75*GeV, 275.0*GeV], [475.0*GeV, 343.75*GeV, 275.0*GeV]], 0.395777*pb],
[[[475.0*GeV, 375.0*GeV, 300.0*GeV], [475.0*GeV, 375.0*GeV, 300.0*GeV]], 0.935422*pb],
[[[500.0*GeV, 31.25*GeV, 25.0*GeV], [500.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0562193*pb],
[[[500.0*GeV, 62.5*GeV, 50.0*GeV], [500.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0659806*pb],
[[[500.0*GeV, 93.75*GeV, 75.0*GeV], [500.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0667955*pb],
[[[500.0*GeV, 125.0*GeV, 100.0*GeV], [500.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0730677*pb],
[[[500.0*GeV, 156.25*GeV, 125.0*GeV], [500.0*GeV, 156.25*GeV, 125.0*GeV]], 0.0704817*pb],
[[[500.0*GeV, 187.5*GeV, 150.0*GeV], [500.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0722536*pb],
[[[500.0*GeV, 218.75*GeV, 175.0*GeV], [500.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0758903*pb],
[[[500.0*GeV, 250.0*GeV, 200.0*GeV], [500.0*GeV, 250.0*GeV, 200.0*GeV]], 0.0978884*pb],
[[[500.0*GeV, 281.25*GeV, 225.0*GeV], [500.0*GeV, 281.25*GeV, 225.0*GeV]], 0.103897*pb],
[[[500.0*GeV, 312.5*GeV, 250.0*GeV], [500.0*GeV, 312.5*GeV, 250.0*GeV]], 0.166015*pb],
[[[500.0*GeV, 343.75*GeV, 275.0*GeV], [500.0*GeV, 343.75*GeV, 275.0*GeV]], 0.223607*pb],
[[[500.0*GeV, 375.0*GeV, 300.0*GeV], [500.0*GeV, 375.0*GeV, 300.0*GeV]], 0.408354*pb],
[[[500.0*GeV, 406.25*GeV, 325.0*GeV], [500.0*GeV, 406.25*GeV, 325.0*GeV]], 0.878139*pb],
[[[525.0*GeV, 31.25*GeV, 25.0*GeV], [525.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0690072*pb],
[[[525.0*GeV, 62.5*GeV, 50.0*GeV], [525.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0632009*pb],
[[[525.0*GeV, 93.75*GeV, 75.0*GeV], [525.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0684395*pb],
[[[525.0*GeV, 125.0*GeV, 100.0*GeV], [525.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0664153*pb],
[[[525.0*GeV, 156.25*GeV, 125.0*GeV], [525.0*GeV, 156.25*GeV, 125.0*GeV]], 0.062918*pb],
[[[525.0*GeV, 187.5*GeV, 150.0*GeV], [525.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0687133*pb],
[[[525.0*GeV, 218.75*GeV, 175.0*GeV], [525.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0704691*pb],
[[[525.0*GeV, 250.0*GeV, 200.0*GeV], [525.0*GeV, 250.0*GeV, 200.0*GeV]], 0.0712108*pb],
[[[525.0*GeV, 281.25*GeV, 225.0*GeV], [525.0*GeV, 281.25*GeV, 225.0*GeV]], 0.0758679*pb],
[[[525.0*GeV, 312.5*GeV, 250.0*GeV], [525.0*GeV, 312.5*GeV, 250.0*GeV]], 0.111099*pb],
[[[525.0*GeV, 343.75*GeV, 275.0*GeV], [525.0*GeV, 343.75*GeV, 275.0*GeV]], 0.156422*pb],
[[[525.0*GeV, 375.0*GeV, 300.0*GeV], [525.0*GeV, 375.0*GeV, 300.0*GeV]], 0.214266*pb],
[[[525.0*GeV, 406.25*GeV, 325.0*GeV], [525.0*GeV, 406.25*GeV, 325.0*GeV]], 0.406191*pb],
[[[550.0*GeV, 31.25*GeV, 25.0*GeV], [550.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0536459*pb],
[[[550.0*GeV, 62.5*GeV, 50.0*GeV], [550.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0584496*pb],
[[[550.0*GeV, 93.75*GeV, 75.0*GeV], [550.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0601548*pb],
[[[550.0*GeV, 125.0*GeV, 100.0*GeV], [550.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0601322*pb],
[[[550.0*GeV, 156.25*GeV, 125.0*GeV], [550.0*GeV, 156.25*GeV, 125.0*GeV]], 0.0685791*pb],
[[[550.0*GeV, 187.5*GeV, 150.0*GeV], [550.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0637707*pb],
[[[550.0*GeV, 218.75*GeV, 175.0*GeV], [550.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0639608*pb],
[[[550.0*GeV, 250.0*GeV, 200.0*GeV], [550.0*GeV, 250.0*GeV, 200.0*GeV]], 0.0648911*pb],
[[[550.0*GeV, 281.25*GeV, 225.0*GeV], [550.0*GeV, 281.25*GeV, 225.0*GeV]], 0.0705903*pb],
[[[550.0*GeV, 312.5*GeV, 250.0*GeV], [550.0*GeV, 312.5*GeV, 250.0*GeV]], 0.076285*pb],
[[[550.0*GeV, 343.75*GeV, 275.0*GeV], [550.0*GeV, 343.75*GeV, 275.0*GeV]], 0.104722*pb],
[[[550.0*GeV, 375.0*GeV, 300.0*GeV], [550.0*GeV, 375.0*GeV, 300.0*GeV]], 0.146558*pb],
[[[550.0*GeV, 406.25*GeV, 325.0*GeV], [550.0*GeV, 406.25*GeV, 325.0*GeV]], 0.226667*pb],
[[[550.0*GeV, 437.5*GeV, 350.0*GeV], [550.0*GeV, 437.5*GeV, 350.0*GeV]], 0.418393*pb],
[[[575.0*GeV, 31.25*GeV, 25.0*GeV], [575.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0519883*pb],
[[[575.0*GeV, 62.5*GeV, 50.0*GeV], [575.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0568233*pb],
[[[575.0*GeV, 93.75*GeV, 75.0*GeV], [575.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0556397*pb],
[[[575.0*GeV, 125.0*GeV, 100.0*GeV], [575.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0580306*pb],
[[[575.0*GeV, 156.25*GeV, 125.0*GeV], [575.0*GeV, 156.25*GeV, 125.0*GeV]], 0.0598807*pb],
[[[575.0*GeV, 187.5*GeV, 150.0*GeV], [575.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0558184*pb],
[[[575.0*GeV, 218.75*GeV, 175.0*GeV], [575.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0581338*pb],
[[[575.0*GeV, 250.0*GeV, 200.0*GeV], [575.0*GeV, 250.0*GeV, 200.0*GeV]], 0.0559894*pb],
[[[575.0*GeV, 281.25*GeV, 225.0*GeV], [575.0*GeV, 281.25*GeV, 225.0*GeV]], 0.0678152*pb],
[[[575.0*GeV, 312.5*GeV, 250.0*GeV], [575.0*GeV, 312.5*GeV, 250.0*GeV]], 0.0664299*pb],
[[[575.0*GeV, 343.75*GeV, 275.0*GeV], [575.0*GeV, 343.75*GeV, 275.0*GeV]], 0.0761216*pb],
[[[575.0*GeV, 375.0*GeV, 300.0*GeV], [575.0*GeV, 375.0*GeV, 300.0*GeV]], 0.10003*pb],
[[[575.0*GeV, 406.25*GeV, 325.0*GeV], [575.0*GeV, 406.25*GeV, 325.0*GeV]], 0.119648*pb],
[[[575.0*GeV, 437.5*GeV, 350.0*GeV], [575.0*GeV, 437.5*GeV, 350.0*GeV]], 0.269826*pb],
[[[575.0*GeV, 468.75*GeV, 375.0*GeV], [575.0*GeV, 468.75*GeV, 375.0*GeV]], 0.562929*pb],
[[[600.0*GeV, 31.25*GeV, 25.0*GeV], [600.0*GeV, 31.25*GeV, 25.0*GeV]], 0.048869*pb],
[[[600.0*GeV, 62.5*GeV, 50.0*GeV], [600.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0513936*pb],
[[[600.0*GeV, 93.75*GeV, 75.0*GeV], [600.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0535319*pb],
[[[600.0*GeV, 125.0*GeV, 100.0*GeV], [600.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0546522*pb],
[[[600.0*GeV, 156.25*GeV, 125.0*GeV], [600.0*GeV, 156.25*GeV, 125.0*GeV]], 0.051864*pb],
[[[600.0*GeV, 187.5*GeV, 150.0*GeV], [600.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0553032*pb],
[[[600.0*GeV, 218.75*GeV, 175.0*GeV], [600.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0550633*pb],
[[[600.0*GeV, 250.0*GeV, 200.0*GeV], [600.0*GeV, 250.0*GeV, 200.0*GeV]], 0.0551395*pb],
[[[600.0*GeV, 281.25*GeV, 225.0*GeV], [600.0*GeV, 281.25*GeV, 225.0*GeV]], 0.0549749*pb],
[[[600.0*GeV, 312.5*GeV, 250.0*GeV], [600.0*GeV, 312.5*GeV, 250.0*GeV]], 0.0600296*pb],
[[[600.0*GeV, 343.75*GeV, 275.0*GeV], [600.0*GeV, 343.75*GeV, 275.0*GeV]], 0.0658689*pb],
[[[600.0*GeV, 375.0*GeV, 300.0*GeV], [600.0*GeV, 375.0*GeV, 300.0*GeV]], 0.0802994*pb],
[[[600.0*GeV, 406.25*GeV, 325.0*GeV], [600.0*GeV, 406.25*GeV, 325.0*GeV]], 0.0850563*pb],
[[[600.0*GeV, 437.5*GeV, 350.0*GeV], [600.0*GeV, 437.5*GeV, 350.0*GeV]], 0.153902*pb],
[[[600.0*GeV, 468.75*GeV, 375.0*GeV], [600.0*GeV, 468.75*GeV, 375.0*GeV]], 0.261381*pb],
[[[600.0*GeV, 500.0*GeV, 400.0*GeV], [600.0*GeV, 500.0*GeV, 400.0*GeV]], 0.564805*pb],
[[[625.0*GeV, 31.25*GeV, 25.0*GeV], [625.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0465222*pb],
[[[625.0*GeV, 62.5*GeV, 50.0*GeV], [625.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0476387*pb],
[[[625.0*GeV, 93.75*GeV, 75.0*GeV], [625.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0544885*pb],
[[[625.0*GeV, 125.0*GeV, 100.0*GeV], [625.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0562215*pb],
[[[625.0*GeV, 156.25*GeV, 125.0*GeV], [625.0*GeV, 156.25*GeV, 125.0*GeV]], 0.0522388*pb],
[[[625.0*GeV, 187.5*GeV, 150.0*GeV], [625.0*GeV, 187.5*GeV, 150.0*GeV]], 0.055707*pb],
[[[625.0*GeV, 218.75*GeV, 175.0*GeV], [625.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0512604*pb],
[[[625.0*GeV, 250.0*GeV, 200.0*GeV], [625.0*GeV, 250.0*GeV, 200.0*GeV]], 0.051255*pb],
[[[625.0*GeV, 281.25*GeV, 225.0*GeV], [625.0*GeV, 281.25*GeV, 225.0*GeV]], 0.0549426*pb],
[[[625.0*GeV, 312.5*GeV, 250.0*GeV], [625.0*GeV, 312.5*GeV, 250.0*GeV]], 0.0540103*pb],
[[[625.0*GeV, 343.75*GeV, 275.0*GeV], [625.0*GeV, 343.75*GeV, 275.0*GeV]], 0.0607641*pb],
[[[625.0*GeV, 375.0*GeV, 300.0*GeV], [625.0*GeV, 375.0*GeV, 300.0*GeV]], 0.057771*pb],
[[[625.0*GeV, 406.25*GeV, 325.0*GeV], [625.0*GeV, 406.25*GeV, 325.0*GeV]], 0.0707144*pb],
[[[625.0*GeV, 437.5*GeV, 350.0*GeV], [625.0*GeV, 437.5*GeV, 350.0*GeV]], 0.0990403*pb],
[[[625.0*GeV, 468.75*GeV, 375.0*GeV], [625.0*GeV, 468.75*GeV, 375.0*GeV]], 0.144906*pb],
[[[625.0*GeV, 500.0*GeV, 400.0*GeV], [625.0*GeV, 500.0*GeV, 400.0*GeV]], 0.240053*pb],
[[[625.0*GeV, 531.25*GeV, 425.0*GeV], [625.0*GeV, 531.25*GeV, 425.0*GeV]], 0.467064*pb],
[[[650.0*GeV, 31.25*GeV, 25.0*GeV], [650.0*GeV, 31.25*GeV, 25.0*GeV]], 0.0427771*pb],
[[[650.0*GeV, 62.5*GeV, 50.0*GeV], [650.0*GeV, 62.5*GeV, 50.0*GeV]], 0.0498256*pb],
[[[650.0*GeV, 93.75*GeV, 75.0*GeV], [650.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0493848*pb],
[[[650.0*GeV, 125.0*GeV, 100.0*GeV], [650.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0508522*pb],
[[[650.0*GeV, 156.25*GeV, 125.0*GeV], [650.0*GeV, 156.25*GeV, 125.0*GeV]], 0.0523193*pb],
[[[650.0*GeV, 187.5*GeV, 150.0*GeV], [650.0*GeV, 187.5*GeV, 150.0*GeV]], 0.0493819*pb],
[[[650.0*GeV, 218.75*GeV, 175.0*GeV], [650.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0480967*pb],
[[[650.0*GeV, 250.0*GeV, 200.0*GeV], [650.0*GeV, 250.0*GeV, 200.0*GeV]], 0.0485884*pb],
[[[650.0*GeV, 281.25*GeV, 225.0*GeV], [650.0*GeV, 281.25*GeV, 225.0*GeV]], 0.0522445*pb],
